# height, label
0.0051 1.0000
0.0901 1.0000
-0.0194 1.0000
0.1896 1.0000
0.1185 1.0000
0.0419 1.0000
0.1757 1.0000
0.3404 1.0000
0.3539 1.0000
0.2460 1.0000
0.4627 1.0000
0.4321 1.0000
0.5235 1.0000
0.5543 1.0000
0.4454 1.0000
0.6363 1.0000
0.5806 1.0000
0.8361 1.0000
0.7938 1.0000
0.7661 1.0000
0.7033 1.0000
0.8471 1.0000
0.8978 1.0000
0.8009 1.0000
1.1843 1.0000
1.0414 1.0000
1.2113 1.0000
0.9709 1.0000
1.2858 1.0000
1.0262 1.0000
1.1373 1.0000
1.2967 1.0000
1.2874 1.0000
1.0868 1.0000
1.2522 1.0000
1.4866 1.0000
1.6517 1.0000
1.5745 1.0000
1.4954 1.0000
1.6428 1.0000
1.4888 1.0000
1.6943 1.0000
1.5486 1.0000
1.7225 1.0000
1.7505 1.0000
1.8838 1.0000
1.8134 1.0000
2.0040 1.0000
1.9042 1.0000
2.0476 1.0000
2.0827 1.0000
1.8600 1.0000
2.0879 1.0000
2.1278 1.0000
2.0865 1.0000
2.2223 1.0000
2.0989 1.0000
2.3402 1.0000
2.3756 1.0000
2.3948 1.0000
2.6525 1.0000
2.4801 1.0000
2.4917 1.0000
2.4518 1.0000
2.5948 1.0000
2.5090 1.0000
2.7725 1.0000
2.6206 1.0000
2.7413 1.0000
2.9645 1.0000
2.9220 1.0000
2.8700 1.0000
3.0238 1.0000
2.9204 1.0000
3.0455 1.0000
3.0079 1.0000
2.9555 1.0000
3.1292 1.0000
3.2197 1.0000
3.1317 1.0000
3.0967 1.0000
3.1937 1.0000
3.0486 1.0000
3.2659 1.0000
3.2592 1.0000
3.6091 1.0000
3.3904 1.0000
3.3327 1.0000
3.6141 1.0000
3.5496 1.0000
3.6121 1.0000
3.6662 1.0000
3.7083 1.0000
3.6900 1.0000
3.8630 1.0000
3.8599 1.0000
3.7981 1.0000
3.8706 1.0000
3.8334 1.0000
3.9960 1.0000
4.0818 1.0000
4.1132 1.0000
4.1497 1.0000
4.1156 1.0000
4.3262 1.0000
4.1877 1.0000
4.2515 1.0000
4.2550 1.0000
4.3368 1.0000
4.3447 1.0000
4.6120 1.0000
4.4915 1.0000
4.3207 1.0000
4.4857 1.0000
4.4275 1.0000
4.6972 1.0000
4.7868 1.0000
4.6443 1.0000
4.7908 1.0000
4.7485 1.0000
4.8504 1.0000
5.0229 1.0000
4.8548 1.0000
4.8065 1.0000
5.0418 1.0000
5.0617 1.0000
5.1175 1.0000
5.1928 1.0000
5.0621 1.0000
4.9737 1.0000
5.3145 1.0000
5.2096 1.0000
5.1698 1.0000
5.2138 1.0000
5.4836 1.0000
5.4289 1.0000
5.4812 1.0000
5.5760 1.0000
5.4634 1.0000
5.4586 1.0000
5.5259 1.0000
5.5408 1.0000
5.6623 1.0000
5.6424 1.0000
5.7754 1.0000
5.7635 1.0000
5.8437 1.0000
5.9568 1.0000
6.0720 1.0000
6.1275 1.0000
6.0235 1.0000
6.0733 1.0000
6.0413 1.0000
6.2329 1.0000
6.3255 1.0000
6.1531 1.0000
6.3289 1.0000
6.2596 1.0000
6.3156 1.0000
6.3912 1.0000
6.3727 1.0000
6.5424 1.0000
6.3434 1.0000
6.4635 1.0000
6.5612 1.0000
6.5087 1.0000
6.6894 1.0000
6.5419 1.0000
6.7390 1.0000
6.6295 1.0000
6.7991 1.0000
6.9045 1.0000
7.1141 0.0000
7.0416 0.0000
7.1357 0.0000
7.0208 0.0000
7.2657 0.0000
7.0701 0.0000
7.1090 0.0000
7.0461 0.0000
7.2367 0.0000
7.3599 0.0000
7.2312 0.0000
7.2976 0.0000
7.3284 0.0000
7.3817 0.0000
7.3959 0.0000
7.3600 0.0000
7.6732 0.0000
7.3780 0.0000
7.5225 0.0000
7.6897 0.0000
7.7965 0.0000
7.7146 0.0000
7.7472 0.0000
7.8206 0.0000
7.8296 0.0000
7.9835 0.0000
7.8876 0.0000
7.8774 0.0000
7.9688 0.0000
8.0657 0.0000
8.2191 0.0000
8.2963 0.0000
8.1364 0.0000
8.0700 0.0000
8.1181 0.0000
8.5091 0.0000
8.2964 0.0000
8.4225 0.0000
8.6086 0.0000
8.3889 0.0000
8.4775 0.0000
8.4790 0.0000
8.4676 0.0000
8.6972 0.0000
8.7639 0.0000
8.5100 0.0000
8.8356 0.0000
8.7540 0.0000
8.8360 0.0000
8.8775 0.0000
8.7671 0.0000
8.9068 0.0000
8.8789 0.0000
9.2096 0.0000
9.2767 0.0000
9.1066 0.0000
9.0204 0.0000
9.2940 0.0000
9.1994 0.0000
9.4331 0.0000
9.4955 0.0000
9.5060 0.0000
9.3392 0.0000
9.3190 0.0000
9.3926 0.0000
9.4894 0.0000
9.4467 0.0000
9.6985 0.0000
9.6850 0.0000
9.6559 0.0000
9.6594 0.0000
9.8044 0.0000
9.9174 0.0000
9.6267 0.0000
9.8831 0.0000
9.8698 0.0000
9.8655 0.0000
9.9458 0.0000
10.0335 0.0000
10.2471 0.0000
10.1059 0.0000
10.0973 0.0000
10.0576 0.0000
10.2978 0.0000
10.1853 0.0000
10.2892 0.0000
10.4120 0.0000
10.3860 0.0000
10.3822 0.0000
10.4436 0.0000
10.5908 0.0000
10.5391 0.0000
10.6054 0.0000
10.6635 0.0000
10.6279 0.0000
10.7342 0.0000
10.7138 0.0000
10.8949 0.0000
10.8718 0.0000
10.6887 0.0000
10.8811 0.0000
11.0528 0.0000
10.9607 0.0000
10.9798 0.0000
11.1615 0.0000
10.9939 0.0000
11.1488 0.0000
11.2414 0.0000
11.3076 0.0000
11.1592 0.0000
11.1780 0.0000
11.4921 0.0000
11.3049 0.0000
11.4139 0.0000
11.7060 0.0000
11.4565 0.0000
11.3229 0.0000
